,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence,track.album.album_type,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.artists,track.duration_ms,track.explicit,track.href,track.id,track.name,track.popularity,track.track_number
34,0.0622,0.627,207668,0.834,2ImfiS8qdWSfx8Ec6iMYHY,0,6,0.326,-6.048,1,0.0511,123.909,4,https://api.spotify.com/v1/tracks/2ImfiS8qdWSfx8Ec6iMYHY,spotify:track:2ImfiS8qdWSfx8Ec6iMYHY,0.342,album,4GLDRHD1QWArvXJum0sOw5,Nowhere Near Old Enough,2015-01-26,day,12,album,spotify:album:4GLDRHD1QWArvXJum0sOw5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5M6D2PqxdnZMVMCb1jNOTp'}, 'href': 'https://api.spotify.com/v1/artists/5M6D2PqxdnZMVMCb1jNOTp', 'id': '5M6D2PqxdnZMVMCb1jNOTp', 'name': 'Chasing Grace', 'type': 'artist', 'uri': 'spotify:artist:5M6D2PqxdnZMVMCb1jNOTp'}]",207667,True,https://api.spotify.com/v1/tracks/2ImfiS8qdWSfx8Ec6iMYHY,2ImfiS8qdWSfx8Ec6iMYHY,Run,34,7
35,0.178,0.492,178160,0.872,5xyRzgC5q0iWcDnak1CNoP,0.00264,2,0.0743,-5.994,1,0.0557,160.315,3,https://api.spotify.com/v1/tracks/5xyRzgC5q0iWcDnak1CNoP,spotify:track:5xyRzgC5q0iWcDnak1CNoP,0.491,single,3SldntbJHFD0Xysdg41lqt,Run,2015-02-17,day,1,album,spotify:album:3SldntbJHFD0Xysdg41lqt,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0iidQFemlPhkoHqFroz2my'}, 'href': 'https://api.spotify.com/v1/artists/0iidQFemlPhkoHqFroz2my', 'id': '0iidQFemlPhkoHqFroz2my', 'name': 'Delta Rae', 'type': 'artist', 'uri': 'spotify:artist:0iidQFemlPhkoHqFroz2my'}]",178160,False,https://api.spotify.com/v1/tracks/5xyRzgC5q0iWcDnak1CNoP,5xyRzgC5q0iWcDnak1CNoP,Run,45,1
36,0.0357,0.711,194549,0.811,0NEgLKReA7npnfiJeUHP8q,0.00868,11,0.246,-4.72,1,0.0377,140.01,4,https://api.spotify.com/v1/tracks/0NEgLKReA7npnfiJeUHP8q,spotify:track:0NEgLKReA7npnfiJeUHP8q,0.961,album,1rpLjvQfzQAeZuRVpyMkh4,Gracetown,2015-03-06,day,12,album,spotify:album:1rpLjvQfzQAeZuRVpyMkh4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Ou0138wEd8XWebhc4j7O0'}, 'href': 'https://api.spotify.com/v1/artists/0Ou0138wEd8XWebhc4j7O0', 'id': '0Ou0138wEd8XWebhc4j7O0', 'name': 'San Cisco', 'type': 'artist', 'uri': 'spotify:artist:0Ou0138wEd8XWebhc4j7O0'}]",194549,False,https://api.spotify.com/v1/tracks/0NEgLKReA7npnfiJeUHP8q,0NEgLKReA7npnfiJeUHP8q,RUN,47,1
37,0.756,0.683,241653,0.659,0MPQ03m2QLoB02I4UXQR9c,0.636,8,0.28,-10.065,1,0.0506,138.002,4,https://api.spotify.com/v1/tracks/0MPQ03m2QLoB02I4UXQR9c,spotify:track:0MPQ03m2QLoB02I4UXQR9c,0.65,album,7BSmYQDkYNTkzltG1OmKP3,Run,2015-03-17,day,14,album,spotify:album:7BSmYQDkYNTkzltG1OmKP3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4njdEjTnLfcGImKZu1iSrz'}, 'href': 'https://api.spotify.com/v1/artists/4njdEjTnLfcGImKZu1iSrz', 'id': '4njdEjTnLfcGImKZu1iSrz', 'name': 'AWOLNATION', 'type': 'artist', 'uri': 'spotify:artist:4njdEjTnLfcGImKZu1iSrz'}]",241653,False,https://api.spotify.com/v1/tracks/0MPQ03m2QLoB02I4UXQR9c,0MPQ03m2QLoB02I4UXQR9c,Run,40,1
38,0.00389,0.508,218783,0.779,5uDZdW4e9QwMSIWbzY7oD2,0.02,0,0.398,-5.763,1,0.0333,145.02,4,https://api.spotify.com/v1/tracks/5uDZdW4e9QwMSIWbzY7oD2,spotify:track:5uDZdW4e9QwMSIWbzY7oD2,0.109,album,4YEuQkWaBp1L4LQ5qrI2ys,Run,2015-03-20,day,12,album,spotify:album:4YEuQkWaBp1L4LQ5qrI2ys,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/11gWrKZMBsGQWmobv3oNfW'}, 'href': 'https://api.spotify.com/v1/artists/11gWrKZMBsGQWmobv3oNfW', 'id': '11gWrKZMBsGQWmobv3oNfW', 'name': 'Alison Wonderland', 'type': 'artist', 'uri': 'spotify:artist:11gWrKZMBsGQWmobv3oNfW'}]",218783,False,https://api.spotify.com/v1/tracks/5uDZdW4e9QwMSIWbzY7oD2,5uDZdW4e9QwMSIWbzY7oD2,Run,53,1
39,0.00178,0.41,69077,0.909,586xfl7VsCFPD9z5iJoKEp,0,11,0.794,-5.234,0,0.171,145.973,4,https://api.spotify.com/v1/tracks/586xfl7VsCFPD9z5iJoKEp,spotify:track:586xfl7VsCFPD9z5iJoKEp,0.469,album,621OhgnZJ7Pz8iUazct1In,Cherry Bomb,2015-04-13,day,13,album,spotify:album:621OhgnZJ7Pz8iUazct1In,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF'}, 'href': 'https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF', 'id': '4V8LLVI7PbaPR0K2TGSxFF', 'name': 'Tyler, The Creator', 'type': 'artist', 'uri': 'spotify:artist:4V8LLVI7PbaPR0K2TGSxFF'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/57ZTzIn5GLxNLzWgnTTcHj'}, 'href': 'https://api.spotify.com/v1/artists/57ZTzIn5GLxNLzWgnTTcHj', 'id': '57ZTzIn5GLxNLzWgnTTcHj', 'name': 'Chaz Bundick', 'type': 'artist', 'uri': 'spotify:artist:57ZTzIn5GLxNLzWgnTTcHj'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m'}, 'href': 'https://api.spotify.com/v1/artists/5IcR3N7QB1j6KBL8eImZ8m', 'id': '5IcR3N7QB1j6KBL8eImZ8m', 'name': 'ScHoolboy Q', 'type': 'artist', 'uri': 'spotify:artist:5IcR3N7QB1j6KBL8eImZ8m'}]",69076,True,https://api.spotify.com/v1/tracks/586xfl7VsCFPD9z5iJoKEp,586xfl7VsCFPD9z5iJoKEp,RUN (feat. Chaz Bundick & ScHoolboy Q),45,4
40,0.00384,0.544,210080,0.625,4Fc62OkXYtEOjMmaSyJoQY,0.00657,10,0.0889,-6.797,0,0.0342,75.243,4,https://api.spotify.com/v1/tracks/4Fc62OkXYtEOjMmaSyJoQY,spotify:track:4Fc62OkXYtEOjMmaSyJoQY,0.43,album,2aaWMtuGxw17AZpKhZGdXQ,RKS,2015-04-25,day,11,album,spotify:album:2aaWMtuGxw17AZpKhZGdXQ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4hz8tIajF2INpgM0qzPJz2'}, 'href': 'https://api.spotify.com/v1/artists/4hz8tIajF2INpgM0qzPJz2', 'id': '4hz8tIajF2INpgM0qzPJz2', 'name': 'Rainbow Kitten Surprise', 'type': 'artist', 'uri': 'spotify:artist:4hz8tIajF2INpgM0qzPJz2'}]",210080,False,https://api.spotify.com/v1/tracks/4Fc62OkXYtEOjMmaSyJoQY,4Fc62OkXYtEOjMmaSyJoQY,Run,51,1
41,0.00151,0.497,206467,0.882,6szw2Y2ywtth0oc7ODN3Tz,7.11E-06,8,0.139,-5.621,1,0.0412,76.481,4,https://api.spotify.com/v1/tracks/6szw2Y2ywtth0oc7ODN3Tz,spotify:track:6szw2Y2ywtth0oc7ODN3Tz,0.922,album,247KCXJJqEGxii7kfI4NZ2,COIN,2015-06-05,day,10,album,spotify:album:247KCXJJqEGxii7kfI4NZ2,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0ZxZlO7oWCSYMXhehpyMvE'}, 'href': 'https://api.spotify.com/v1/artists/0ZxZlO7oWCSYMXhehpyMvE', 'id': '0ZxZlO7oWCSYMXhehpyMvE', 'name': 'COIN', 'type': 'artist', 'uri': 'spotify:artist:0ZxZlO7oWCSYMXhehpyMvE'}]",206466,False,https://api.spotify.com/v1/tracks/6szw2Y2ywtth0oc7ODN3Tz,6szw2Y2ywtth0oc7ODN3Tz,Run,55,5
42,0.0208,0.464,262107,0.787,0hPj4YsrD3mZ7Wt1aKQc6S,0,8,0.0471,-5.955,0,0.369,176.628,4,https://api.spotify.com/v1/tracks/0hPj4YsrD3mZ7Wt1aKQc6S,spotify:track:0hPj4YsrD3mZ7Wt1aKQc6S,0.434,album,0qRi8GikRx1ZWEgYQBJiTH,Strange New Past,2015-06-19,day,13,album,spotify:album:0qRi8GikRx1ZWEgYQBJiTH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3N9qpKjXarCt5AIZRCeqr8'}, 'href': 'https://api.spotify.com/v1/artists/3N9qpKjXarCt5AIZRCeqr8', 'id': '3N9qpKjXarCt5AIZRCeqr8', 'name': 'Seth Sentry', 'type': 'artist', 'uri': 'spotify:artist:3N9qpKjXarCt5AIZRCeqr8'}]",262106,True,https://api.spotify.com/v1/tracks/0hPj4YsrD3mZ7Wt1aKQc6S,0hPj4YsrD3mZ7Wt1aKQc6S,Run,41,2
43,0.0371,0.71,195840,0.61,4dqnFd0dfgh4HgZ1w3AGTE,0.00178,3,0.133,-6.316,1,0.0271,125.018,4,https://api.spotify.com/v1/tracks/4dqnFd0dfgh4HgZ1w3AGTE,spotify:track:4dqnFd0dfgh4HgZ1w3AGTE,0.457,single,4Ytna3SE775GRHSyfIK0cQ,Run (Lost Frequencies Radio Edit),2015-07-24,day,1,album,spotify:album:4Ytna3SE775GRHSyfIK0cQ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1vlR56ECqMAOA2mUTcTgPV'}, 'href': 'https://api.spotify.com/v1/artists/1vlR56ECqMAOA2mUTcTgPV', 'id': '1vlR56ECqMAOA2mUTcTgPV', 'name': 'Emma Bale', 'type': 'artist', 'uri': 'spotify:artist:1vlR56ECqMAOA2mUTcTgPV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7f5Zgnp2spUuuzKplmRkt7'}, 'href': 'https://api.spotify.com/v1/artists/7f5Zgnp2spUuuzKplmRkt7', 'id': '7f5Zgnp2spUuuzKplmRkt7', 'name': 'Lost Frequencies', 'type': 'artist', 'uri': 'spotify:artist:7f5Zgnp2spUuuzKplmRkt7'}]",195840,False,https://api.spotify.com/v1/tracks/4dqnFd0dfgh4HgZ1w3AGTE,4dqnFd0dfgh4HgZ1w3AGTE,Run - Lost Frequencies Radio Edit,58,1
44,0.000585,0.594,240000,0.916,4aJH4kVoy2tlhCwiwrMDeb,0.635,11,0.0854,-4.158,1,0.0331,140.011,4,https://api.spotify.com/v1/tracks/4aJH4kVoy2tlhCwiwrMDeb,spotify:track:4aJH4kVoy2tlhCwiwrMDeb,0.32,album,6HRMpuoLWFpYL8BO5CqymH,Sapphire,2015-08-21,day,7,album,spotify:album:6HRMpuoLWFpYL8BO5CqymH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2WMIMX93pQyfyAF2J2r1ID'}, 'href': 'https://api.spotify.com/v1/artists/2WMIMX93pQyfyAF2J2r1ID', 'id': '2WMIMX93pQyfyAF2J2r1ID', 'name': 'Veorra', 'type': 'artist', 'uri': 'spotify:artist:2WMIMX93pQyfyAF2J2r1ID'}]",240000,False,https://api.spotify.com/v1/tracks/4aJH4kVoy2tlhCwiwrMDeb,4aJH4kVoy2tlhCwiwrMDeb,Run,59,3
45,0.00301,0.481,222760,0.938,1wvs9V8xEJStRzx78lSNJK,0.000153,11,0.0859,-4.759,0,0.0781,134.962,4,https://api.spotify.com/v1/tracks/1wvs9V8xEJStRzx78lSNJK,spotify:track:1wvs9V8xEJStRzx78lSNJK,0.357,album,7FqHuAvmREiIwVXVpZ9ooP,That's The Spirit,2015-09-11,day,11,album,spotify:album:7FqHuAvmREiIwVXVpZ9ooP,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF'}, 'href': 'https://api.spotify.com/v1/artists/1Ffb6ejR6Fe5IamqA5oRUF', 'id': '1Ffb6ejR6Fe5IamqA5oRUF', 'name': 'Bring Me The Horizon', 'type': 'artist', 'uri': 'spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF'}]",222760,False,https://api.spotify.com/v1/tracks/1wvs9V8xEJStRzx78lSNJK,1wvs9V8xEJStRzx78lSNJK,Run,61,8
46,0.00538,0.344,286973,0.452,4Hg1ZJgGoUoHzEkSS4UVrc,0.00252,8,0.104,-10.012,1,0.0353,117.721,5,https://api.spotify.com/v1/tracks/4Hg1ZJgGoUoHzEkSS4UVrc,spotify:track:4Hg1ZJgGoUoHzEkSS4UVrc,0.108,album,1peuAcDUYzZvF31WnvQ4wQ,We The Generation (Deluxe Edition),2015-10-02,day,18,album,spotify:album:1peuAcDUYzZvF31WnvQ4wQ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4WN5naL3ofxrVBgFpguzKo'}, 'href': 'https://api.spotify.com/v1/artists/4WN5naL3ofxrVBgFpguzKo', 'id': '4WN5naL3ofxrVBgFpguzKo', 'name': 'Rudimental', 'type': 'artist', 'uri': 'spotify:artist:4WN5naL3ofxrVBgFpguzKo'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/39AZSw4A8hCFWunEg2k89Z'}, 'href': 'https://api.spotify.com/v1/artists/39AZSw4A8hCFWunEg2k89Z', 'id': '39AZSw4A8hCFWunEg2k89Z', 'name': 'Will Heard', 'type': 'artist', 'uri': 'spotify:artist:39AZSw4A8hCFWunEg2k89Z'}]",286973,False,https://api.spotify.com/v1/tracks/4Hg1ZJgGoUoHzEkSS4UVrc,4Hg1ZJgGoUoHzEkSS4UVrc,Run (feat. Will Heard),27,16
47,0.00146,0.554,236748,0.878,0PAq1DRlOGBAjXLno94j6b,0,11,0.0998,-3.02,0,0.0513,132.889,4,https://api.spotify.com/v1/tracks/0PAq1DRlOGBAjXLno94j6b,spotify:track:0PAq1DRlOGBAjXLno94j6b,0.55,album,4frjaGAtuBmm8CPuYPY4oG,The Most Beautiful Moment in Life Pt.2,2015-11-30,day,9,album,spotify:album:4frjaGAtuBmm8CPuYPY4oG,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}]",236748,False,https://api.spotify.com/v1/tracks/0PAq1DRlOGBAjXLno94j6b,0PAq1DRlOGBAjXLno94j6b,Run,65,2
